job_title,company_name,job_link
Backend Wordpress Developer,Hifi Digital Ltd,http://jobs.bdjobs.com/jobdetails.asp?id=786577&fcatId=8&ln=1,
Frontend React JS Developer,Hifi Digital Ltd,http://jobs.bdjobs.com/jobdetails.asp?id=786579&fcatId=8&ln=3,
Backend Python Developer,Hifi Digital Ltd,http://jobs.bdjobs.com/jobdetails.asp?id=786578&fcatId=8&ln=1,
Executive IT,Ujala Paint Industry,http://jobs.bdjobs.com/jobdetails.asp?id=786599&fcatId=8&ln=1,
Service Experience Specialist Engineer,Banglalink,http://jobs.bdjobs.com/jobdetails.asp?id=786598&fcatId=8&ln=1,
Officer (International Carrier Relations),NovoTel Limited,http://jobs.bdjobs.com/jobdetails.asp?id=786574&fcatId=8&ln=1,
Executive - IT,A Reputed Multinational Apparel Buying Office Having Global Presence,http://jobs.bdjobs.com/jobdetails.asp?id=786518&fcatId=8&ln=1,
Technical SEO Executives / Organic Search Specialists,IMT360 Limited,http://jobs.bdjobs.com/jobdetails.asp?id=786451&fcatId=8&ln=1,
Solution & Technical Content Writing - Executive,Business Automation Ltd.,http://jobs.bdjobs.com/jobdetails.asp?id=786420&fcatId=8&ln=1,
Trainee Engineer| Application Support,Data Edge Limited,http://jobs.bdjobs.com/jobdetails.asp?id=786344&fcatId=8&ln=1,
Video Editor cum Graphic Designer,Multinational Company,http://jobs.bdjobs.com/jobdetails.asp?id=786308&fcatId=8&ln=1,
Pre-Sales Executive,A Well Reputed IT Enable Company,http://jobs.bdjobs.com/jobdetails.asp?id=786292&fcatId=8&ln=1,
Uddokta,Ultimate Information Architect Ltd.,http://jobs.bdjobs.com/jobdetails.asp?id=786284&fcatId=8&ln=3,
Software Engineer,CloudWell Limited,http://jobs.bdjobs.com/jobdetails.asp?id=786278&fcatId=8&ln=1,
Kingsley .NET C# DevExpress Developer,Kingsley Engineering Service Corporation,http://jobs.bdjobs.com/jobdetails.asp?id=786274&fcatId=8&ln=1,
SEO & Digital Marketing Executive,Mohona Construction & Housing Consultancy Limited,http://jobs.bdjobs.com/jobdetails.asp?id=785900&fcatId=8&ln=1,
Graphics Designer,Mohona Construction & Housing Consultancy Limited,http://jobs.bdjobs.com/jobdetails.asp?id=785894&fcatId=8&ln=1,
Web Designer & Developer,Mohona Construction & Housing Consultancy Limited,http://jobs.bdjobs.com/jobdetails.asp?id=785888&fcatId=8&ln=1,
Quality Assurance Engineer (IT),Mohona Construction & Housing Consultancy Limited,http://jobs.bdjobs.com/jobdetails.asp?id=785878&fcatId=8&ln=1,
Project Supervisor (IT),Mohona Construction & Housing Consultancy Limited,http://jobs.bdjobs.com/jobdetails.asp?id=785855&fcatId=8&ln=1,
Web Developer (SYLHET),Edulink Education Group,http://jobs.bdjobs.com/jobdetails.asp?id=786035&fcatId=8&ln=1,
UI/ UX Designer,UY Lab,http://jobs.bdjobs.com/jobdetails.asp?id=786106&fcatId=8&ln=3,
IoT (Internet of Things) Engineer,UY Systems Ltd.,http://jobs.bdjobs.com/jobdetails.asp?id=786150&fcatId=8&ln=1,
Trainer - Professional Freelancing/ Outsourcing,Vision Institute,http://jobs.bdjobs.com/jobdetails.asp?id=786126&fcatId=8&ln=1,
Asst. Manager| Mobile VAS,Synesis IT,http://jobs.bdjobs.com/jobdetails.asp?id=786131&fcatId=8&ln=1,
Web Application Developer,Greenland Group.,http://jobs.bdjobs.com/jobdetails.asp?id=786120&fcatId=8&ln=3,
Deputy Manager - IT _ M&J Group (Corporate Office),M & J Group,http://jobs.bdjobs.com/jobdetails.asp?id=786097&fcatId=8&ln=1,
Java Developer,A well Reputed IT Enable Company,http://jobs.bdjobs.com/jobdetails.asp?id=786085&fcatId=8&ln=1,
Social Media Executive| Herfy - Bangladesh,Greenland Group.,http://jobs.bdjobs.com/jobdetails.asp?id=786080&fcatId=8&ln=1,
Product Development Manager,iPay Systems Ltd.,http://jobs.bdjobs.com/jobdetails.asp?id=786011&fcatId=8&ln=1,
Lecturer| Computer Science & Engineering (CSE),TMSS Engineering College,http://jobs.bdjobs.com/jobdetails.asp?id=786009&fcatId=8&ln=1,
Laboratory Assistant| Computer Science & Engineering (CSE),TMSS Engineering College,http://jobs.bdjobs.com/jobdetails.asp?id=786004&fcatId=8&ln=1,
Assistant Professor| Computer Science & Engineering (CSE),TMSS Engineering College,http://jobs.bdjobs.com/jobdetails.asp?id=785991&fcatId=8&ln=1,
Web Designer,Observe Worldwide Education,http://jobs.bdjobs.com/jobdetails.asp?id=785988&fcatId=8&ln=3,
Head of IT,MAYA Corporation,http://jobs.bdjobs.com/jobdetails.asp?id=785971&fcatId=8&ln=1,
Full Stack Python Developer,Divine IT Limited,http://jobs.bdjobs.com/jobdetails.asp?id=785916&fcatId=8&ln=1,
